retriever,query_category,num_queries,mrr,avg_latency_ms,mrr@1,mrr@3,mrr@5,mrr@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
prompt_rag_top10,all,100,0.5866,0.0,0.43,0.5683,0.5853,0.5866,0.305,0.66,0.755,0.775,0.43,0.5653,0.6102,0.6176,0.43,0.31,0.216,0.111
prompt_rag_top10,exact_match,20,0.7125,0.0,0.45,0.7,0.7125,0.7125,0.45,0.95,1.0,1.0,0.45,0.7655,0.787,0.787,0.45,0.3167,0.2,0.1
prompt_rag_top10,terminology_heavy,20,0.4562,0.0,0.3,0.425,0.45,0.4562,0.3,0.6,0.7,0.75,0.3,0.4696,0.5127,0.5285,0.3,0.2,0.14,0.075
prompt_rag_top10,paraphrase,20,0.2625,0.0,0.15,0.25,0.2625,0.2625,0.15,0.4,0.45,0.45,0.15,0.2881,0.3096,0.3096,0.15,0.1333,0.09,0.045
prompt_rag_top10,entity_relation,20,0.7625,0.0,0.65,0.75,0.7625,0.7625,0.325,0.65,0.775,0.775,0.65,0.646,0.7093,0.7093,0.65,0.4333,0.31,0.155
prompt_rag_top10,multi_hop,20,0.7392,0.0,0.6,0.7167,0.7392,0.7392,0.3,0.7,0.85,0.9,0.6,0.6573,0.7325,0.7536,0.6,0.4667,0.34,0.18
