retriever,query_category,num_queries,mrr,avg_latency_ms,mrr@1,mrr@3,mrr@5,mrr@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
graphrag,all,100,0.1517,64.38,0.05,0.12,0.1365,0.1517,0.045,0.15,0.205,0.295,0.05,0.1149,0.1403,0.1717,0.05,0.07,0.058,0.041
graphrag,exact_match,20,0.1625,170.63,0.1,0.15,0.1625,0.1625,0.1,0.2,0.25,0.25,0.1,0.1631,0.1846,0.1846,0.1,0.0667,0.05,0.025
graphrag,terminology_heavy,20,0.1694,28.58,0.1,0.1417,0.1517,0.1694,0.1,0.2,0.25,0.4,0.1,0.1565,0.1759,0.2221,0.1,0.0667,0.05,0.04
graphrag,paraphrase,20,0.0592,54.15,0.0,0.025,0.0375,0.0592,0.0,0.05,0.1,0.25,0.0,0.0315,0.0531,0.1033,0.0,0.0167,0.02,0.025
graphrag,entity_relation,20,0.1535,31.15,0.0,0.1083,0.1333,0.1535,0.0,0.125,0.175,0.275,0.0,0.0887,0.1151,0.1538,0.0,0.0833,0.07,0.055
graphrag,multi_hop,20,0.2142,37.38,0.05,0.175,0.1975,0.2142,0.025,0.175,0.25,0.3,0.05,0.1347,0.1729,0.1948,0.05,0.1167,0.1,0.06
