retriever,query_category,num_queries,mrr,avg_latency_ms,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
graphrag,all,100,0.1152,25.37,0.035,0.13,0.195,0.235,0.04,0.0969,0.1243,0.1382,0.04,0.05,0.046,0.028
graphrag,exact_match,20,0.1167,83.16,0.05,0.2,0.2,0.2,0.05,0.1381,0.1381,0.1381,0.05,0.0667,0.04,0.02
graphrag,terminology_heavy,20,0.2885,9.09,0.1,0.35,0.55,0.7,0.1,0.2577,0.3373,0.3868,0.1,0.1167,0.11,0.07
graphrag,paraphrase,20,0.01,10.51,0.0,0.0,0.05,0.05,0.0,0.0,0.0193,0.0193,0.0,0.0,0.01,0.005
graphrag,entity_relation,20,0.0725,12.08,0.0,0.05,0.1,0.1,0.0,0.0387,0.0637,0.0637,0.0,0.0333,0.04,0.02
graphrag,multi_hop,20,0.0883,11.99,0.025,0.05,0.075,0.125,0.05,0.05,0.0632,0.083,0.05,0.0333,0.03,0.025
