retriever,query_category,num_queries,mrr,avg_latency_ms,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
bm25,all,100,0.4265,1.38,0.205,0.425,0.575,0.72,0.25,0.3563,0.4253,0.4778,0.25,0.19,0.156,0.099
bm25,exact_match,20,0.7396,1.03,0.6,0.85,0.95,1.0,0.6,0.7446,0.7877,0.8035,0.6,0.2833,0.19,0.1
bm25,terminology_heavy,20,0.4042,0.47,0.2,0.45,0.7,0.85,0.2,0.3577,0.461,0.5113,0.2,0.15,0.14,0.085
bm25,paraphrase,20,0.0972,1.33,0.0,0.1,0.2,0.4,0.0,0.0565,0.0996,0.1681,0.0,0.0333,0.04,0.04
bm25,entity_relation,20,0.483,2.03,0.15,0.375,0.5,0.7,0.3,0.338,0.404,0.4836,0.3,0.25,0.2,0.14
bm25,multi_hop,20,0.4083,2.02,0.075,0.35,0.525,0.65,0.15,0.2847,0.3744,0.4225,0.15,0.2333,0.21,0.13
