category,system,metric,query_n,mean,ci_low,ci_high,bootstrap_samples,seed
entity_relation,hybrid_rrf,mrr_at_10,6,1.0,1.0,1.0,10000,42
entity_relation,hybrid_rrf,recall_at_10,6,0.8925925925925925,0.7851851851851852,0.9814814814814815,10000,42
entity_relation,hybrid_rrf,ndcg_graded_at_10,6,0.933336189062652,0.8897168604834521,0.9762816242502613,10000,42
entity_relation,prompt_rag_claude,mrr_at_10,6,1.0,1.0,1.0,10000,42
entity_relation,prompt_rag_claude,recall_at_10,6,0.8925925925925925,0.7444444444444445,1.0,10000,42
entity_relation,prompt_rag_claude,ndcg_graded_at_10,6,0.913240025807765,0.8042865585947441,0.9844213385814292,10000,42
multi_hop,bm25,mrr_at_10,6,1.0,1.0,1.0,10000,42
multi_hop,bm25,recall_at_10,6,0.8191142191142191,0.6997668997668999,0.9333333333333332,10000,42
multi_hop,bm25,ndcg_graded_at_10,6,0.8365615940034705,0.7652599018957469,0.9117898572047939,10000,42
multi_hop,faiss_windowed_max,mrr_at_10,6,0.9166666666666666,0.75,1.0,10000,42
multi_hop,faiss_windowed_max,recall_at_10,6,0.6409479409479409,0.40155400155400156,0.8803418803418803,10000,42
multi_hop,faiss_windowed_max,ndcg_graded_at_10,6,0.6873358329132652,0.533531104028353,0.8303551689028611,10000,42
multi_hop,graph_v3_2,mrr_at_10,6,1.0,1.0,1.0,10000,42
multi_hop,graph_v3_2,recall_at_10,6,0.7379176379176379,0.6282828282828282,0.8666666666666667,10000,42
multi_hop,graph_v3_2,ndcg_graded_at_10,6,0.7882209668725033,0.7154741396817043,0.8723111371816018,10000,42
multi_hop,hybrid_rrf,mrr_at_10,6,1.0,1.0,1.0,10000,42
multi_hop,hybrid_rrf,recall_at_10,6,0.8398212898212898,0.7403263403263404,0.938888888888889,10000,42
multi_hop,hybrid_rrf,ndcg_graded_at_10,6,0.8895659440431841,0.8258104157762292,0.9467340353166045,10000,42
multi_hop,prompt_rag_claude,mrr_at_10,6,1.0,1.0,1.0,10000,42
multi_hop,prompt_rag_claude,recall_at_10,6,0.9207459207459209,0.7925407925407925,1.0,10000,42
multi_hop,prompt_rag_claude,ndcg_graded_at_10,6,0.9728335999349556,0.9364099148772561,0.9961815892444514,10000,42
synthesis,bm25,mrr_at_10,4,0.875,0.625,1.0,10000,42
synthesis,bm25,recall_at_10,4,0.7090909090909091,0.6522727272727272,0.7749999999999999,10000,42
synthesis,bm25,ndcg_graded_at_10,4,0.7806461491319573,0.6609845176548882,0.8903123054336275,10000,42
synthesis,faiss_windowed_max,mrr_at_10,4,1.0,1.0,1.0,10000,42
synthesis,faiss_windowed_max,recall_at_10,4,0.6159090909090909,0.3818181818181818,0.8500000000000001,10000,42
synthesis,faiss_windowed_max,ndcg_graded_at_10,4,0.6115594206056331,0.39266635987484344,0.8577841370366476,10000,42
synthesis,graph_v3_2,mrr_at_10,4,0.0,0.0,0.0,10000,42
synthesis,graph_v3_2,recall_at_10,4,0.0,0.0,0.0,10000,42
synthesis,graph_v3_2,ndcg_graded_at_10,4,0.0,0.0,0.0,10000,42
synthesis,hybrid_rrf,mrr_at_10,4,0.875,0.625,1.0,10000,42
synthesis,hybrid_rrf,recall_at_10,4,0.7090909090909091,0.6522727272727272,0.7749999999999999,10000,42
synthesis,hybrid_rrf,ndcg_graded_at_10,4,0.7806461491319573,0.6609845176548882,0.8903123054336275,10000,42
synthesis,prompt_rag_claude,mrr_at_10,4,0.8125,0.4375,1.0,10000,42
synthesis,prompt_rag_claude,recall_at_10,4,0.8068181818181819,0.6136363636363636,1.0,10000,42
synthesis,prompt_rag_claude,ndcg_graded_at_10,4,0.8108714252377806,0.5489446143409351,0.9914583202376159,10000,42
