retriever,query_category,num_queries,mrr,avg_latency_ms,mrr@1,mrr@3,mrr@5,mrr@10,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
hybrid_rrf,all,100,0.4306,52.46,0.28,0.38,0.4005,0.4177,0.195,0.39,0.47,0.61,0.28,0.3363,0.3723,0.4209,0.28,0.1733,0.126,0.084
hybrid_rrf,exact_match,20,0.4629,146.62,0.3,0.4167,0.4292,0.446,0.3,0.55,0.6,0.75,0.3,0.4512,0.4727,0.518,0.3,0.1833,0.12,0.075
hybrid_rrf,terminology_heavy,20,0.3453,22.04,0.1,0.3,0.3225,0.3275,0.1,0.55,0.65,0.7,0.1,0.3643,0.4052,0.4196,0.1,0.1833,0.13,0.07
hybrid_rrf,paraphrase,20,0.2209,41.25,0.15,0.1667,0.1892,0.2087,0.15,0.2,0.3,0.45,0.15,0.175,0.2159,0.2639,0.15,0.0667,0.06,0.045
hybrid_rrf,entity_relation,20,0.5235,24.16,0.35,0.4917,0.4917,0.5101,0.175,0.325,0.35,0.5,0.35,0.3266,0.3398,0.3977,0.35,0.2167,0.14,0.1
hybrid_rrf,multi_hop,20,0.6006,28.23,0.5,0.525,0.57,0.5961,0.25,0.325,0.45,0.65,0.5,0.3646,0.4279,0.5051,0.5,0.2167,0.18,0.13
