retriever,query_category,num_queries,mrr,avg_latency_ms,recall@1,recall@3,recall@5,recall@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,precision@1,precision@3,precision@5,precision@10
faiss,all,100,0.157,32.42,0.075,0.13,0.165,0.26,0.09,0.1144,0.1292,0.1633,0.09,0.06,0.046,0.037
faiss,exact_match,20,0.3489,80.78,0.3,0.35,0.4,0.55,0.3,0.325,0.3443,0.395,0.3,0.1167,0.08,0.055
faiss,terminology_heavy,20,0.01,8.03,0.0,0.0,0.05,0.05,0.0,0.0,0.0193,0.0193,0.0,0.0,0.01,0.005
faiss,paraphrase,20,0.0368,14.25,0.0,0.05,0.05,0.15,0.0,0.0315,0.0315,0.0624,0.0,0.0167,0.01,0.015
faiss,entity_relation,20,0.1894,45.7,0.025,0.125,0.2,0.275,0.05,0.104,0.1396,0.1679,0.05,0.0833,0.08,0.055
faiss,multi_hop,20,0.2001,13.33,0.05,0.125,0.125,0.275,0.1,0.1113,0.1113,0.1718,0.1,0.0833,0.05,0.055
